Clusters,Cut PPP,Cut FREQ,Handoff PPP,Handoff FREQ,Isolation PPP,Isolation FREQ,OffScreen PPP,OffScreen FREQ,Postup PPP,Postup FREQ,PRBallHandler PPP,PRBallHandler FREQ,PRRollman PPP,PRRollman FREQ,OffRebound PPP,OffRebound FREQ,Spotup PPP,Spotup FREQ,Transition PPP,Transition FREQ,DRIVE_PASSES_PCT,FG3A,USG_PCT,POTENTIAL_AST FREQ,Restricted Area FREQ,In The Paint (Non-RA) FREQ,Mid-Range FREQ,3P FREQ,Drives FREQ,PULL_UP FREQ,CATCH_SHOOT FREQ,Clusters
0,1.183576923076923,0.031461538461538464,0.9107692307692308,0.09942307692307692,0.8611923076923076,0.05615384615384615,0.9691153846153846,0.08315384615384615,0.02692307692307692,0.00042307692307692304,0.8348846153846154,0.2200769230769231,0.47692307692307695,0.007730769230769231,0.7364615384615385,0.014884615384615385,1.088076923076923,0.2602307692307692,1.0807307692307693,0.17711538461538462,0.3745769230769231,5.976923076923077,0.21073076923076922,0.3749265050394562,0.4076651738317726,0.27232596267057957,0.3200088634976478,0.5193758807349791,0.4037451647178753,0.36334389358513647,0.3481948563452164,0
1,1.30803125,0.11765625,0.39696875,0.01240625,0.726875,0.04246875,0.49515625,0.01696875,0.94253125,0.13728125,0.33825,0.01334375,1.06115625,0.1525,1.2018125,0.0874375,0.931875,0.21665625,1.0716875,0.1223125,0.26390625,2.921875,0.20834375,0.32107004843106507,0.5116657309883734,0.3205535137878359,0.16778075522379063,0.2844615531594253,0.22037563994012715,0.11282311624462307,0.3205233357609438,1
2,1.2082222222222223,0.15366666666666667,0.20633333333333334,0.008388888888888888,0.23372222222222222,0.010944444444444444,0.0,0.0,0.17477777777777778,0.008722222222222221,0.24000000000000002,0.018111111111111113,0.8277777777777778,0.06988888888888889,1.0717222222222222,0.09888888888888889,0.9665555555555555,0.33566666666666667,1.283111111111111,0.20272222222222222,0.3184444444444445,2.0777777777777775,0.14588888888888887,0.3147805106123934,0.7610261342942627,0.1774995196862247,0.06147434601951245,0.3594373995593541,0.25110331611516007,0.05577837688492618,0.35050721913821753,2
3,1.3279375,0.05803125,0.84990625,0.055531250000000004,0.87678125,0.049874999999999996,0.8812187499999999,0.03046875,0.2720625,0.01028125,0.81375,0.14034375,0.54434375,0.01978125,1.0499375,0.0413125,0.99490625,0.32175,1.1290625,0.2168125,0.3636875,3.971875,0.1838125,0.40626390011457364,0.5425166776783445,0.31784366453163315,0.13963965779002216,0.4204790944263451,0.48068558216516477,0.19513885907412803,0.3351219646486953,3
4,1.305135135135135,0.24840540540540543,0.033270270270270276,0.0006486486486486486,0.19345945945945947,0.006540540540540541,0.0,0.0,0.7536486486486486,0.07910810810810812,0.0,0.0,1.234945945945946,0.2209189189189189,1.1217297297297297,0.20027027027027028,0.6131891891891892,0.04872972972972973,1.3444324324324324,0.08008108108108108,0.2267027027027027,0.30540540540540545,0.15775675675675674,0.31577268468965913,0.6920921259510341,0.25692863179356673,0.05097924225539912,0.049392437077957894,0.07377950537183373,0.03152757373955082,0.10150227021903858,4
5,0.9067142857142857,0.044,0.383,0.02457142857142857,0.5142857142857143,0.06642857142857142,0.0,0.0,0.0,0.0,0.7277142857142858,0.34214285714285714,0.16671428571428573,0.0032857142857142855,0.17142857142857143,0.0054285714285714284,0.8464285714285714,0.21714285714285714,0.9215714285714286,0.16271428571428573,0.5614285714285714,1.457142857142857,0.15871428571428572,1.25164474569587,0.4852069879468539,0.3023436363044895,0.21244937574865652,0.28026710195319576,1.1270541679040373,0.31270405522912975,0.18310119746823458,5
6,1.252,0.06390476190476191,0.8378571428571429,0.06352380952380952,0.03438095238095238,0.0012857142857142856,0.9985714285714286,0.05966666666666666,0.034904761904761904,0.0010952380952380953,0.7578571428571428,0.06919047619047619,0.6822857142857143,0.03004761904761905,0.9466190476190477,0.03266666666666667,1.0305238095238094,0.4319523809523809,1.1404761904761904,0.17914285714285713,0.4057619047619048,4.338095238095238,0.1510952380952381,0.3273648566458988,0.4879960540556939,0.26158703712463477,0.2504169088196712,0.6025188479664996,0.2784528834142262,0.17704104902238788,0.5477917834972768,6
7,1.362,0.048125,0.9250625,0.045,0.7874375,0.082,0.8015,0.0505,0.983125,0.094625,0.878,0.086125,0.998,0.04125,1.10425,0.0383125,1.0513124999999999,0.3106875,1.1755625,0.1591875,0.3091875,5.1,0.2095625,0.2744634983641748,0.3685176924888189,0.30627514380974896,0.32520716370143204,0.4319906602196004,0.33479899392688034,0.2824981496112122,0.38355788688935094,7
8,0.7178888888888889,0.026666666666666665,0.9771111111111112,0.13233333333333333,0.17905555555555555,0.0085,0.9652222222222222,0.1477222222222222,0.04938888888888889,0.0023333333333333335,0.8244444444444444,0.08900000000000001,0.43444444444444447,0.009222222222222222,0.13505555555555557,0.002277777777777778,1.106111111111111,0.33961111111111114,1.1706111111111113,0.16872222222222222,0.46588888888888885,6.0,0.17883333333333332,0.305489858851697,0.4571346132417527,0.26305715506117333,0.2798082316970738,0.7170094526967706,0.24781154225724655,0.255061681353673,0.5637750096173482,8
9,1.0881666666666667,0.019033333333333333,0.9162666666666667,0.059566666666666664,0.9181333333333334,0.1416,0.9360666666666667,0.0359,0.3466666666666667,0.0135,0.9012999999999999,0.3670333333333333,0.11976666666666666,0.0013666666666666666,0.8924333333333333,0.0145,1.0509666666666666,0.14256666666666667,1.0097333333333334,0.151,0.38316666666666666,6.67,0.2760666666666667,0.5372414653049549,0.3790517618320322,0.34916929984450396,0.2717789383234637,0.39365803535654625,0.6437194398000846,0.45175747937851246,0.17210618783216658,9
11,0.056962962962962965,0.0011111111111111111,0.8603703703703703,0.05807407407407408,0.8662222222222223,0.07725925925925925,0.656,0.02637037037037037,0.040740740740740744,0.000925925925925926,0.8556296296296296,0.3679259259259259,0.037037037037037035,0.0003333333333333333,0.30103703703703705,0.005703703703703704,1.012,0.24574074074074073,1.0902592592592593,0.13792592592592592,0.43307407407407406,4.111111111111111,0.1998888888888889,0.6340518820294916,0.35291624324777154,0.3589053778777433,0.2881783788744851,0.44199701333810854,0.6948904317648288,0.41984794078586407,0.2524180628552508,11
12,1.2717333333333334,0.15439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.6934666666666666,0.0548,0.0,0.0,1.0776666666666666,0.22693333333333332,1.1225999999999998,0.12086666666666666,0.9665999999999999,0.2258,1.222,0.1042,0.428,2.14,0.16086666666666666,0.31954265985334024,0.6069785100512762,0.2619379528457987,0.13108353710292492,0.36562795709619317,0.10824879983912426,0.049936543444054696,0.41324289655094426,12
13,1.3860714285714286,0.04107142857142857,0.8759285714285714,0.03521428571428571,0.9627857142857142,0.16035714285714286,0.9225714285714286,0.05135714285714286,0.9472857142857143,0.09264285714285714,0.9522857142857143,0.19564285714285715,1.0241428571428572,0.038642857142857145,1.1657857142857144,0.030785714285714284,1.055642857142857,0.1422857142857143,1.1689285714285715,0.16321428571428573,0.35064285714285715,5.264285714285714,0.3,0.40440737722323844,0.36777974819174214,0.27075427040873407,0.36146598139952374,0.28092587139118436,0.44622702671751846,0.4226837116910131,0.18007975456544395,13
14,1.0695,0.08758333333333333,0.275875,0.020958333333333332,0.020833333333333332,0.000875,0.061125000000000006,0.0035416666666666665,0.12816666666666668,0.006166666666666667,0.414375,0.04608333333333333,0.2704166666666667,0.019666666666666666,0.6845,0.03841666666666667,0.98825,0.4394166666666666,1.0559166666666666,0.19495833333333334,0.4580416666666667,2.8333333333333335,0.12654166666666666,0.5673039624940992,0.604979931928652,0.26193173729133096,0.133088330780017,0.5527599115283132,0.35810147778822765,0.12158255668401667,0.5008337242810655,14
15,1.2408888888888887,0.037111111111111116,0.8742222222222222,0.05388888888888889,0.8396666666666667,0.05461111111111111,0.11649999999999999,0.006166666666666666,0.04072222222222222,0.0008888888888888889,0.8095,0.2778333333333334,0.0,0.0,0.6867777777777778,0.020833333333333332,0.9518888888888889,0.28905555555555557,1.041,0.1771111111111111,0.4575555555555556,2.8333333333333335,0.16661111111111113,0.7676165687860081,0.4474303201503298,0.39260894997215195,0.1599607298775181,0.41092037525210257,0.6950774550218054,0.2672854346831592,0.30981016992263344,15
