PLAYER_NAME,POTENTIAL_AST,Season,DRIVES,DRIVE_PASSES_PCT,PULL_UP_FGA,PULL_UP_FG3_PCT,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FGA,Restricted Area FGA,In The Paint (Non-RA) FGA,Mid-Range FGA,2PA,FGA,FG3A,USG_PCT
Aaron Gordon,4.4,2021-22,3.5,0.328,2.1,0.3,0.37,2.9,4.9,1.3,1.5,7.7,11.1,3.5,0.194
Aaron Henry,0.2,2021-22,0.2,0.0,0.3,0.0,,0.0,0.2,0.2,0.3,0.7,0.8,0.2,0.149
Aaron Holiday,4.8,2021-22,6.4,0.446,1.6,0.448,0.347,1.2,1.3,1.7,0.8,3.8,5.4,1.6,0.182
Aaron Nesmith,0.9,2021-22,1.3,0.343,0.6,0.176,0.291,2.0,0.7,0.3,0.3,1.3,3.5,2.2,0.164
Aaron Wiggins,2.6,2021-22,4.1,0.384,0.4,0.2,0.31,2.5,2.2,1.7,0.1,4.0,6.7,2.8,0.149
Abdel Nader,0.9,2021-22,2.1,0.31,0.2,0.0,0.364,0.8,0.9,0.6,0.0,1.5,2.5,1.0,0.139
Ade Murkey,0.0,2021-22,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,1.3,2021-22,1.2,0.295,0.2,0.286,0.342,1.9,0.7,0.6,0.1,1.4,3.4,2.1,0.143
Ahmad Caver,1.0,2021-22,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5
Al Horford,5.6,2021-22,1.2,0.446,0.3,1.0,0.357,4.1,1.8,1.7,0.9,4.4,8.2,3.8,0.147
Alec Burks,5.4,2021-22,6.2,0.373,3.5,0.386,0.419,3.1,1.5,1.6,1.1,4.2,9.0,4.8,0.171
Aleem Ford,0.8,2021-22,1.2,0.167,0.0,,0.133,3.0,0.6,0.4,0.0,1.0,4.0,3.0,0.148
Alekesej Pokusevski,4.0,2021-22,3.9,0.513,1.4,0.192,0.303,2.9,2.0,1.7,0.6,4.3,7.5,3.2,0.195
Alex Caruso,6.8,2021-22,4.0,0.512,1.3,0.217,0.346,2.6,1.9,0.8,0.5,3.2,6.2,3.1,0.13
Alex Len,1.9,2021-22,0.3,0.0,0.1,,0.342,1.0,2.2,1.7,0.1,4.0,4.5,0.5,0.165
Alfonzo McKinnie,0.5,2021-22,0.9,0.125,0.6,0.0,0.346,1.5,1.2,0.3,0.6,2.1,3.6,1.6,0.148
Alize Johnson,0.7,2021-22,0.3,0.25,0.0,,0.25,0.2,1.1,0.6,0.0,1.7000000000000002,1.7,0.2,0.14
Alperen Sengun,4.9,2021-22,3.4,0.272,0.5,0.125,0.298,1.4,3.8,1.6,0.2,5.6000000000000005,7.3,1.6,0.214
Amir Coffey,3.2,2021-22,3.1,0.33,1.3,0.286,0.387,3.1,1.5,1.1,0.6,3.2,6.8,3.7,0.154
Andre Drummond,2.9,2021-22,1.0,0.214,0.1,0.0,0.2,0.1,4.6,1.1,0.1,5.799999999999999,5.9,0.0,0.181
Andre Iguodala,6.4,2021-22,0.8,0.652,0.5,0.091,0.25,1.9,1.0,0.3,0.3,1.6,3.9,2.4,0.113
Andrew Wiggins,4.7,2021-22,6.9,0.389,3.9,0.338,0.412,4.5,3.0,3.0,2.5,8.5,14.0,5.5,0.224
Anfernee Simons,8.4,2021-22,7.6,0.361,7.0,0.337,0.478,4.0,1.9,1.9,2.4,6.199999999999999,14.0,7.8,0.244
Anthony Davis,6.0,2021-22,2.7,0.215,3.9,0.5,0.336,3.5,7.6,3.2,4.9,15.700000000000001,17.4,1.8,0.263
Anthony Edwards,7.9,2021-22,10.8,0.344,6.8,0.325,0.421,3.3,5.7,1.8,1.5,9.0,17.3,8.4,0.262
Anthony Gill,1.0,2021-22,1.2,0.275,0.0,,0.556,0.6,1.0,1.0,0.1,2.1,2.5,0.6,0.138
Anthony Lamb,1.0,2021-22,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.105
Armoni Brooks,2.3,2021-22,1.3,0.529,1.9,0.292,0.3,2.8,0.5,0.2,0.1,0.7999999999999999,5.4,4.6,0.159
Arnoldas Kulboka,0.0,2021-22,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.071
Austin Reaves,3.6,2021-22,2.8,0.429,1.1,0.147,0.36,2.2,1.3,0.8,0.5,2.6,5.2,2.7,0.121
Austin Rivers,2.7,2021-22,3.2,0.406,1.0,0.222,0.37,2.4,1.1,0.6,0.1,1.8000000000000003,5.2,3.4,0.123
Avery Bradley,1.8,2021-22,1.0,0.429,1.3,0.419,0.407,3.0,0.9,0.5,0.8,2.2,5.6,3.4,0.119
Ayo Dosunmu,6.0,2021-22,4.2,0.498,1.4,0.222,0.389,2.4,2.7,0.8,1.0,4.5,6.9,2.4,0.138
BJ Johnson,1.5,2021-22,1.3,0.2,1.5,0.0,0.5,3.0,1.3,0.5,2.0,3.8,6.3,2.5,0.169
Bam Adebayo,7.1,2021-22,3.6,0.224,2.5,0.0,0.388,1.2,5.8,5.0,2.1,12.9,13.0,0.1,0.248
Ben McLemore,1.6,2021-22,1.0,0.478,1.7,0.282,0.378,5.6,0.9,0.2,0.9,2.0,8.4,6.5,0.207
Bismack Biyombo,1.0,2021-22,0.0,0.0,0.1,,0.125,0.2,2.4,1.5,0.2,4.1,4.0,0.0,0.167
Blake Griffin,3.1,2021-22,0.7,0.4,0.6,0.3,0.256,2.2,2.3,0.5,0.2,3.0,5.6,2.6,0.167
Boban Marjanovic,0.3,2021-22,0.0,0.0,0.6,,0.385,0.6,1.4,1.5,0.4,3.3,3.0,0.2,0.311
Bobby Portis,2.1,2021-22,1.5,0.234,1.9,0.5,0.405,5.2,3.0,2.4,2.0,7.4,12.1,4.7,0.207
Bogdan Bogdanovic,5.0,2021-22,6.5,0.426,4.7,0.357,0.399,5.0,1.7,2.0,1.6,5.300000000000001,12.6,7.3,0.212
Bojan Bogdanovic,3.0,2021-22,6.2,0.268,3.0,0.378,0.389,5.4,2.9,2.9,0.9,6.7,13.4,6.8,0.232
Bol Bol,0.9,2021-22,0.8,0.455,0.6,,0.25,0.3,0.7,0.7,0.5,1.9,1.9,0.3,0.16
Bones Hyland,5.0,2021-22,4.0,0.438,3.1,0.369,0.371,3.0,1.4,0.9,0.8,3.0999999999999996,8.3,5.2,0.231
Brad Wanamaker,4.7,2021-22,4.0,0.533,1.4,0.0,0.5,0.3,1.1,0.6,1.0,2.7,3.3,0.7,0.146
Bradley Beal,12.0,2021-22,17.4,0.368,8.1,0.31,0.294,3.0,5.0,4.9,4.1,14.0,19.3,5.3,0.297
Brandon Boston,1.8,2021-22,2.4,0.246,2.8,0.309,0.321,1.0,1.9,0.8,1.6,4.300000000000001,6.4,2.2,0.212
Brandon Clarke,2.2,2021-22,1.7,0.236,0.4,,0.388,0.8,3.9,2.5,0.3,6.7,7.0,0.3,0.171
Brandon Goodwin,5.3,2021-22,4.9,0.545,1.5,0.333,0.355,0.9,1.4,0.9,0.5,2.8,4.3,1.5,0.177
Brandon Ingram,10.7,2021-22,11.9,0.377,8.1,0.213,0.413,4.8,3.1,3.3,7.4,13.8,17.9,4.1,0.291
Brandon Knight,4.0,2021-22,5.0,0.68,1.8,0.125,0.333,1.8,1.4,0.2,0.0,1.5999999999999999,5.0,3.4,0.216
Brandon Williams,8.6,2021-22,10.5,0.381,4.0,0.222,0.365,2.6,3.7,2.1,1.6,7.4,11.8,4.4,0.246
Braxton Key,2.5,2021-22,1.7,0.263,1.0,0.25,0.278,1.6,3.0,1.0,0.6,4.6,6.5,1.9,0.184
Brodric Thomas,1.3,2021-22,0.8,0.778,0.3,0.333,0.167,0.5,0.6,0.2,0.0,0.8,1.5,0.8,0.172
Brook Lopez,1.0,2021-22,0.9,0.083,1.2,0.333,0.346,4.0,3.4,2.0,0.6,6.0,10.1,4.1,0.211
Bruce Brown,3.5,2021-22,2.6,0.412,0.4,0.333,0.378,1.7,3.3,2.1,0.4,5.800000000000001,7.0,1.3,0.146
Bruno Fernando,0.4,2021-22,0.5,0.0,0.0,,0.333,0.1,1.4,0.4,0.1,1.9,1.8,0.1,0.197
Bryn Forbes,2.3,2021-22,2.7,0.328,2.4,0.38,0.416,3.6,0.4,1.2,1.7,3.3,7.2,3.9,0.201
Buddy Hield,5.2,2021-22,5.5,0.48,4.7,0.31,0.391,5.8,2.2,1.2,1.4,4.800000000000001,13.6,8.8,0.214
CJ Elleby,2.8,2021-22,2.9,0.425,0.6,0.0,0.312,2.2,2.0,0.8,0.4,3.1999999999999997,5.3,2.2,0.143
CJ McCollum,10.0,2021-22,11.2,0.339,9.8,0.35,0.436,3.6,2.8,4.1,4.4,11.3,18.8,7.6,0.269
CJ Miles,1.0,2021-22,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Cade Cunningham,10.5,2021-22,14.6,0.407,5.1,0.302,0.321,3.8,4.7,3.6,2.2,10.5,16.1,5.7,0.273
Caleb Martin,2.2,2021-22,3.1,0.308,1.0,0.429,0.398,2.1,2.9,0.7,0.7,4.3,6.8,2.6,0.158
Cam Reddish,1.8,2021-22,4.5,0.269,2.8,0.275,0.374,2.8,2.1,1.2,1.3,4.6,8.3,3.8,0.213
Cam Thomas,2.1,2021-22,4.4,0.3,4.2,0.253,0.293,1.5,1.0,1.8,2.3,5.1,7.5,2.6,0.212
Cameron Johnson,3.2,2021-22,3.0,0.399,1.1,0.292,0.422,5.6,1.5,1.2,0.6,3.3000000000000003,9.2,5.9,0.167
Cameron McGriff,2.0,2021-22,2.3,0.571,1.3,1.0,0.0,1.3,2.0,0.3,0.7,3.0,4.7,2.0,0.122
Cameron Oliver,1.5,2021-22,0.0,0.0,0.5,,0.333,1.5,4.5,1.0,0.5,6.0,7.5,1.5,0.167
Cameron Payne,8.9,2021-22,9.7,0.31,3.4,0.299,0.351,2.0,2.3,3.0,1.2,6.5,10.1,3.6,0.235
Caris LeVert,9.2,2021-22,14.9,0.384,6.6,0.262,0.4,1.9,3.7,4.9,1.7,10.3,14.7,4.4,0.252
Carlik Jones,1.4,2021-22,1.4,0.571,0.8,,0.0,0.2,1.0,0.0,0.8,1.8,1.8,0.2,0.22
Carmelo Anthony,1.6,2021-22,0.7,0.174,3.3,0.383,0.382,5.5,1.2,0.9,2.6,4.7,10.5,5.8,0.195
Carsen Edwards,4.3,2021-22,3.3,0.462,3.5,0.333,0.167,1.5,1.8,1.0,0.8,3.5999999999999996,7.5,4.0,0.179
Cassius Stanley,1.2,2021-22,3.0,0.222,0.7,0.0,0.267,1.7,1.8,1.2,0.2,3.2,5.1,1.9,0.148
Cassius Winston,2.6,2021-22,2.0,0.714,0.7,0.0,0.5,0.6,0.1,0.5,0.2,0.8,1.6,0.9,0.184
Cat Barber,1.7,2021-22,2.3,0.571,0.7,,,0.0,0.7,0.0,1.0,1.7,1.3,0.0,0.219
Cedi Osman,3.7,2021-22,3.5,0.436,1.6,0.4,0.348,4.3,2.2,0.8,0.3,3.3,8.7,5.4,0.206
Chandler Hutchison,0.7,2021-22,0.5,0.667,0.0,,,0.0,0.2,0.2,0.0,0.4,0.3,0.0,0.111
Charles Bassey,0.7,2021-22,0.0,1.0,0.1,0.0,0.286,0.3,1.3,0.5,0.1,1.9000000000000001,2.0,0.2,0.152
Charlie Brown Jr.,0.5,2021-22,0.3,0.0,0.1,,0.083,0.5,0.9,0.3,0.2,1.4,1.8,0.5,0.105
Chaundee Brown Jr.,1.4,2021-22,1.8,0.333,1.4,0.5,0.313,3.2,1.2,1.0,0.6,2.8000000000000003,6.4,3.6,0.146
Cheick Diallo,0.7,2021-22,0.7,0.0,0.0,,,0.0,2.0,0.7,0.0,2.7,2.7,0.0,0.145
Chimezie Metu,1.8,2021-22,3.1,0.282,1.1,0.222,0.318,2.9,2.1,1.6,0.7,4.4,7.5,3.1,0.184
Chris Boucher,0.8,2021-22,0.6,0.114,0.5,0.182,0.31,2.9,3.3,0.7,0.4,4.4,7.2,2.9,0.172
Chris Chiozza,3.8,2021-22,3.7,0.678,0.7,0.214,0.361,1.1,0.4,0.3,0.2,0.8999999999999999,2.4,1.6,0.132
Chris Duarte,3.9,2021-22,6.6,0.37,4.7,0.315,0.4,2.8,2.9,1.5,2.3,6.7,11.3,4.6,0.207
Chris Paul,19.6,2021-22,11.9,0.501,8.5,0.302,0.4,0.8,0.5,3.2,4.6,8.3,11.3,3.1,0.197
Chris Silva,1.2,2021-22,0.0,0.0,0.0,,0.0,0.1,1.3,0.5,0.1,1.9000000000000001,1.5,0.0,0.123
Christian Wood,4.5,2021-22,4.4,0.233,2.0,0.375,0.382,3.7,4.8,2.3,0.8,7.8999999999999995,12.9,4.9,0.233
Chuma Okeke,3.4,2021-22,3.1,0.47,1.6,0.262,0.327,4.5,1.5,0.9,0.6,3.0,8.2,5.3,0.159
Clint Capela,2.1,2021-22,0.2,0.059,0.0,,0.0,0.0,6.7,1.4,0.1,8.2,8.2,0.0,0.149
Coby White,4.7,2021-22,6.9,0.426,2.9,0.311,0.404,4.6,2.3,1.3,1.2,4.8,10.6,5.8,0.195
Cody Martin,4.2,2021-22,3.5,0.469,0.8,0.471,0.365,2.1,2.6,0.6,0.5,3.7,6.0,2.2,0.12
Cody Zeller,1.9,2021-22,0.7,0.278,0.0,0.0,0.571,0.3,2.4,0.7,0.0,3.0999999999999996,3.3,0.1,0.153
Cole Anthony,11.1,2021-22,11.3,0.434,5.5,0.288,0.357,3.5,2.8,3.0,2.3,8.1,14.0,6.0,0.245
Collin Sexton,5.9,2021-22,11.4,0.344,3.5,0.25,0.226,2.8,4.8,3.1,1.7,9.6,13.7,4.1,0.264
Corey Kispert,1.8,2021-22,1.4,0.385,0.8,0.167,0.354,3.9,1.4,0.7,0.4,2.4999999999999996,6.7,4.2,0.142
Cory Joseph,8.0,2021-22,6.8,0.526,1.8,0.314,0.444,1.9,1.8,1.1,0.9,3.8000000000000003,6.2,2.4,0.141
Craig Sword,1.3,2021-22,1.0,1.0,0.0,,0.0,0.3,1.0,0.0,0.0,1.0,1.3,0.3,0.125
D'Angelo Russell,12.6,2021-22,6.1,0.314,6.9,0.329,0.354,4.1,2.2,2.2,2.7,7.1000000000000005,15.0,8.0,0.246
D.J. Augustin,4.1,2021-22,3.4,0.611,1.3,0.302,0.49,1.9,0.6,0.3,0.2,1.0999999999999999,4.0,3.0,0.139
D.J. Wilson,2.0,2021-22,1.0,0.25,1.5,0.0,0.0,0.3,1.5,1.3,1.0,3.8,3.8,0.5,0.159
DaQuan Jeffries,1.0,2021-22,0.0,0.0,0.0,,0.0,0.3,0.5,0.0,0.0,0.5,0.7,0.3,0.091
Daishen Nix,3.1,2021-22,3.6,0.535,0.5,0.273,0.286,0.6,1.2,0.5,0.0,1.7,2.8,1.1,0.167
Dakota Mathias,0.6,2021-22,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.15
Dalano Banton,3.3,2021-22,2.5,0.506,0.8,0.385,0.2,0.6,1.3,0.7,0.4,2.4,3.2,0.8,0.159
Damian Jones,2.1,2021-22,0.7,0.211,0.2,0.0,0.483,1.0,2.8,0.9,0.6,4.3,4.8,0.5,0.163
Damian Lillard,13.3,2021-22,14.9,0.436,10.4,0.304,0.346,2.8,5.0,1.2,3.1,9.3,19.0,9.8,0.288
Damion Lee,2.2,2021-22,3.0,0.427,1.3,0.444,0.33,2.8,1.4,0.8,0.9,3.1,6.1,3.0,0.156
Damyean Dotson,0.5,2021-22,1.5,0.0,1.0,,0.0,0.5,0.5,0.5,0.5,1.5,2.0,0.5,0.089
Daniel Gafford,1.7,2021-22,0.3,0.182,0.0,,0.083,0.2,4.5,1.0,0.2,5.7,5.7,0.0,0.16
Daniel Oturu,0.3,2021-22,1.0,0.0,0.0,,0.0,0.3,1.3,0.5,0.0,1.8,2.0,0.3,0.125
Daniel Theis,2.1,2021-22,0.6,0.346,0.2,0.0,0.324,3.0,2.5,0.9,0.5,3.9,6.2,2.3,0.162
Danilo Gallinari,2.9,2021-22,2.5,0.333,2.9,0.192,0.419,3.9,1.2,1.1,2.3,4.6,9.0,4.5,0.182
Danny Green,1.7,2021-22,0.9,0.526,0.8,0.175,0.411,3.7,0.4,0.2,0.2,0.8,5.2,4.4,0.121
Danuel House Jr.,1.9,2021-22,2.2,0.441,0.8,0.316,0.388,2.3,1.2,0.4,0.3,1.9000000000000001,4.7,2.8,0.146
Darius Bazley,3.1,2021-22,5.4,0.3,0.7,0.206,0.311,3.4,3.6,1.7,0.2,5.5,9.4,3.9,0.18
Darius Garland,15.6,2021-22,17.5,0.485,7.8,0.405,0.384,3.1,3.9,3.5,3.2,10.600000000000001,17.3,6.7,0.272
Darren Collison,2.7,2021-22,1.0,1.0,0.7,,0.0,1.0,0.7,0.0,0.7,1.4,2.3,1.0,0.077
David Duke Jr.,1.6,2021-22,2.3,0.412,0.5,0.0,0.29,1.4,2.6,0.4,0.3,3.3,4.9,1.7,0.15
David Johnson,0.0,2021-22,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.143
David Nwaba,1.4,2021-22,1.7,0.208,0.1,0.5,0.283,1.0,2.2,0.5,0.0,2.7,3.8,1.1,0.15
Davion Mitchell,7.8,2021-22,9.7,0.512,5.1,0.284,0.326,2.3,2.7,1.7,2.6,7.0,11.2,4.3,0.202
Davis Bertans,0.9,2021-22,0.9,0.571,0.5,0.348,0.34,3.8,0.4,0.3,0.1,0.7999999999999999,4.9,4.1,0.165
Davon Reed,2.1,2021-22,1.1,0.455,1.0,0.353,0.443,1.5,0.6,0.5,0.6,1.7000000000000002,3.4,1.8,0.117
Day'Ron Sharpe,1.3,2021-22,0.4,0.25,0.0,,0.333,0.3,3.9,0.6,0.1,4.6,4.7,0.2,0.205
De'Aaron Fox,10.9,2021-22,16.7,0.267,8.7,0.271,0.34,1.6,4.8,5.8,3.6,14.2,18.5,4.2,0.284
De'Andre Hunter,2.2,2021-22,5.6,0.217,2.8,0.278,0.385,3.8,2.8,2.2,2.1,7.1,10.8,3.7,0.194
De'Anthony Melton,4.8,2021-22,4.6,0.455,2.6,0.307,0.407,3.7,1.9,1.6,0.9,4.4,9.5,5.1,0.205
DeAndre Jordan,0.7,2021-22,0.0,0.0,0.0,,0.0,0.0,2.8,0.2,0.0,3.0,3.0,0.0,0.132
DeAndre' Bembry,1.9,2021-22,1.8,0.32,0.1,,0.375,0.7,2.7,0.6,0.0,3.3000000000000003,3.9,0.6,0.111
DeJon Jarreau,1.0,2021-22,1.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
DeMar DeRozan,9.8,2021-22,15.0,0.357,12.2,0.304,0.381,2.5,3.9,4.7,9.8,18.4,20.2,1.9,0.308
DeMarcus Cousins,3.1,2021-22,2.0,0.234,0.2,0.167,0.295,2.5,3.0,1.0,0.2,4.2,6.8,2.5,0.267
Dean Wade,2.1,2021-22,1.2,0.5,0.4,0.25,0.369,2.8,0.9,0.3,0.3,1.5,4.3,2.8,0.107
Deandre Ayton,2.1,2021-22,0.5,0.111,0.5,0.0,0.537,2.6,4.8,4.9,2.0,11.7,12.0,0.3,0.217
Deividas Sirvydis,0.7,2021-22,0.3,0.0,0.3,0.0,0.167,2.0,0.7,0.3,0.0,1.0,3.3,2.3,0.149
Dejounte Murray,17.2,2021-22,17.9,0.451,8.4,0.28,0.354,2.6,4.5,4.7,4.7,13.899999999999999,18.3,4.3,0.268
Delon Wright,4.8,2021-22,3.6,0.548,0.7,0.382,0.381,1.1,1.1,0.6,0.2,1.9000000000000001,3.5,1.5,0.101
Deni Avdija,3.8,2021-22,3.9,0.321,0.7,0.333,0.32,2.9,2.1,1.4,0.4,3.9,7.1,3.2,0.158
Dennis Schroder,8.8,2021-22,10.7,0.399,3.9,0.323,0.335,2.9,2.7,2.4,2.4,7.5,11.3,3.9,0.223
Dennis Smith Jr.,8.0,2021-22,7.6,0.504,1.2,0.273,0.2,0.4,2.5,1.3,0.7,4.5,5.1,0.7,0.173
Denzel Valentine,1.5,2021-22,1.0,0.56,0.5,0.143,0.462,1.6,0.2,0.5,0.1,0.7999999999999999,2.8,2.0,0.15
Derrick Favors,1.2,2021-22,0.0,0.0,0.1,,0.434,2.1,1.8,1.1,1.4,4.300000000000001,4.7,0.4,0.131
Derrick Jones Jr.,1.2,2021-22,0.6,0.182,0.0,0.5,0.333,1.2,2.3,0.3,0.0,2.5999999999999996,3.8,1.2,0.119
Derrick Rose,7.8,2021-22,9.6,0.412,3.6,0.382,0.426,2.1,3.0,2.4,1.5,6.9,10.5,3.5,0.217
Derrick Walton Jr.,13.0,2021-22,14.7,0.614,2.7,0.0,0.3,3.3,1.3,1.3,1.7,4.3,8.7,4.3,0.142
Derrick White,8.7,2021-22,10.3,0.46,2.8,0.287,0.318,3.8,2.3,2.6,0.9,5.800000000000001,10.7,4.9,0.196
Desmond Bane,5.1,2021-22,5.3,0.314,6.0,0.431,0.436,4.1,2.7,2.5,2.4,7.6,14.5,6.9,0.226
